epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8642,1.4033,1.23795,1.31743,0.85421,0.78986,0.85779,0.63167,0.91626,0.73028,1.09216,0.000551359,0.000551359,0.000551359
2,149.504,1.04602,0.83778,1.07892,0.90132,0.82221,0.87495,0.65268,0.88103,0.67572,1.07505,0.00109241,0.00109241,0.00109241
3,234.438,0.98009,0.79035,1.05432,0.8874,0.81527,0.85107,0.63974,0.8839,0.71279,1.07065,0.0016188,0.0016188,0.0016188
4,306.354,0.98948,0.7764,1.05901,0.84118,0.84125,0.85913,0.64362,0.88174,0.69168,1.05659,0.00160099,0.00160099,0.00160099
5,377.914,0.93261,0.72592,1.04161,0.87265,0.80998,0.85131,0.65664,0.85741,0.66594,1.06546,0.00157898,0.00157898,0.00157898
6,450.58,0.93109,0.73274,1.02946,0.83845,0.85946,0.87823,0.66646,0.85717,0.6458,1.04735,0.00155698,0.00155698,0.00155698
7,525.232,0.93675,0.70653,1.03438,0.89596,0.83599,0.88641,0.66517,0.84729,0.63798,1.05073,0.00153497,0.00153497,0.00153497
8,596.697,0.92741,0.6939,1.02871,0.87044,0.8386,0.88585,0.6783,0.81417,0.60385,1.02238,0.00151297,0.00151297,0.00151297
9,676.345,0.94453,0.69063,1.03497,0.86335,0.84649,0.88296,0.67366,0.81984,0.60252,1.02453,0.00149096,0.00149096,0.00149096
10,752.133,0.88773,0.67586,1.01224,0.85489,0.82045,0.85697,0.65408,0.83051,0.63548,1.0405,0.00146896,0.00146896,0.00146896
11,829.871,0.88648,0.66359,1.02135,0.89314,0.81261,0.86753,0.66968,0.84314,0.62887,1.04784,0.00144696,0.00144696,0.00144696
12,900.667,0.86998,0.6547,1.00721,0.87726,0.81518,0.87585,0.67274,0.80752,0.62072,1.02323,0.00142495,0.00142495,0.00142495
13,970.741,0.87058,0.64415,1.00113,0.90978,0.82045,0.88551,0.68375,0.79556,0.58387,1.02207,0.00140295,0.00140295,0.00140295
14,1041.21,0.84937,0.6198,0.9996,0.91691,0.83545,0.89935,0.68825,0.78772,0.5839,1.0083,0.00138094,0.00138094,0.00138094
15,1113.71,0.84553,0.62236,0.99186,0.91069,0.83956,0.893,0.69426,0.77712,0.56255,1.00182,0.00135894,0.00135894,0.00135894
16,1183.99,0.82807,0.61369,0.97948,0.87914,0.8551,0.90065,0.70295,0.76768,0.57672,1.0043,0.00133693,0.00133693,0.00133693
17,1255.67,0.82225,0.61525,0.9828,0.89641,0.84123,0.88436,0.67838,0.80276,0.61066,1.0296,0.00131493,0.00131493,0.00131493
18,1326.01,0.83411,0.61018,0.99025,0.87824,0.84298,0.8968,0.70296,0.76931,0.58741,1.00771,0.00129293,0.00129293,0.00129293
19,1397.19,0.82353,0.5908,0.98299,0.90208,0.85688,0.90678,0.70704,0.76464,0.55526,1.00768,0.00127092,0.00127092,0.00127092
20,1468.17,0.814,0.59515,0.9932,0.8782,0.86173,0.90507,0.71621,0.73208,0.55035,0.98879,0.00124892,0.00124892,0.00124892
21,1537.24,0.80924,0.5922,0.98202,0.88947,0.83604,0.88234,0.68587,0.7833,0.58485,1.01993,0.00122691,0.00122691,0.00122691
22,1607.29,0.80904,0.58969,0.97578,0.87697,0.82823,0.88861,0.70205,0.75636,0.56664,1.00531,0.00120491,0.00120491,0.00120491
23,1678.7,0.79559,0.58389,0.9794,0.85786,0.8547,0.88637,0.69696,0.77093,0.56882,1.01059,0.0011829,0.0011829,0.0011829
24,1748.97,0.80665,0.58131,0.97484,0.86979,0.84492,0.89198,0.70881,0.744,0.57668,0.9999,0.0011609,0.0011609,0.0011609
25,1820.59,0.795,0.57761,0.9687,0.88937,0.8451,0.89995,0.71691,0.73511,0.54368,0.98838,0.00113889,0.00113889,0.00113889
26,1890.53,0.7802,0.56284,0.96325,0.88787,0.86769,0.90334,0.70831,0.74475,0.53284,0.9987,0.00111689,0.00111689,0.00111689
27,1960.64,0.78449,0.5752,0.97745,0.89394,0.85948,0.90055,0.70237,0.78691,0.55636,1.04927,0.00109489,0.00109489,0.00109489
28,2032.24,0.78153,0.56574,0.97057,0.90562,0.8438,0.89268,0.70215,0.74501,0.55689,0.99681,0.00107288,0.00107288,0.00107288
29,2103.07,0.79242,0.56417,0.97551,0.86449,0.87505,0.89353,0.70422,0.76833,0.55031,1.012,0.00105088,0.00105088,0.00105088
30,2173.72,0.77859,0.54917,0.96549,0.89466,0.86055,0.89705,0.71302,0.74698,0.5417,0.99336,0.00102887,0.00102887,0.00102887
31,2245.28,0.77291,0.5397,0.96345,0.89149,0.84304,0.89815,0.71619,0.75797,0.55278,1.00762,0.00100687,0.00100687,0.00100687
32,2314.37,0.75812,0.53477,0.96038,0.89673,0.8594,0.90654,0.72314,0.73157,0.52234,1.00077,0.000984864,0.000984864,0.000984864
33,2384.8,0.75084,0.55746,0.95864,0.88978,0.88572,0.91755,0.72232,0.71952,0.52179,0.98902,0.000962859,0.000962859,0.000962859
34,2455.05,0.758,0.52654,0.96033,0.89942,0.85948,0.91252,0.71177,0.75173,0.5459,1.0026,0.000940855,0.000940855,0.000940855
35,2523.77,0.75558,0.5332,0.96245,0.86504,0.87801,0.89774,0.71652,0.73605,0.53823,1.00047,0.00091885,0.00091885,0.00091885
36,2596.56,0.72761,0.52685,0.95519,0.90708,0.85579,0.91251,0.72057,0.73416,0.52507,0.99696,0.000896846,0.000896846,0.000896846
37,2664.67,0.74513,0.53001,0.95483,0.88594,0.88147,0.91864,0.72482,0.74024,0.53222,0.99371,0.000874842,0.000874842,0.000874842
